iso_code,country,risk_score,narrative
TCD,Chad,79.1,"Chad's climate risk is high (score: 79.1/100 as of 2024). Per-capita emissions are relatively low at 0.1 tonnes. Climate vulnerability is elevated (0.640), suggesting urgent need for adaptation investment. Key priorities: investing in climate adaptation."
GNB,Guinea-Bissau,78.5,"Guinea-Bissau's climate risk is high (score: 78.5/100 as of 2024). Per-capita emissions are relatively low at 0.2 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.0% year-over-year). Climate vulnerability is elevated (0.613), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
FSM,Micronesia (country),78.1,"Micronesia (country)'s climate risk is high (score: 78.1/100 as of 2024). Per-capita emissions are relatively low at 1.3 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.9% year-over-year). Climate vulnerability is elevated (0.621), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
SLB,Solomon Islands,78.1,"Solomon Islands's climate risk is high (score: 78.1/100 as of 2024). Per-capita emissions are relatively low at 0.4 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.6% year-over-year). Climate vulnerability is elevated (0.629), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
NER,Niger,77.8,"Niger's climate risk is high (score: 77.8/100 as of 2024). Per-capita emissions are relatively low at 0.1 tonnes. Renewable energy adoption is low at 3%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.2% year-over-year). Climate vulnerability is elevated (0.633), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
SDN,Sudan,76.4,"Sudan's climate risk is high (score: 76.4/100 as of 2024). Per-capita emissions are relatively low at 0.4 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Climate vulnerability is elevated (0.612), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
SOM,Somalia,75.9,"Somalia's climate risk is high (score: 75.9/100 as of 2024). Per-capita emissions are relatively low at 0.1 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.8% year-over-year). Climate vulnerability is elevated (0.611), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
TON,Tonga,75.1,"Tonga's climate risk is high (score: 75.1/100 as of 2024). Per-capita emissions are relatively low at 1.5 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.8% year-over-year). Climate vulnerability is elevated (0.607), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
SLE,Sierra Leone,74.3,"Sierra Leone's climate risk is high (score: 74.3/100 as of 2024). Per-capita emissions are relatively low at 0.2 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.9% year-over-year). Climate vulnerability is elevated (0.597), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
ERI,Eritrea,73.9,"Eritrea's climate risk is high (score: 73.9/100 as of 2024). Per-capita emissions are relatively low at 0.2 tonnes. Renewable energy adoption is low at 9%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.6% year-over-year). Climate vulnerability is elevated (0.592), suggesting urgent need for adaptation investment. Key priorities: accelerating renewable adoption, investing in climate adaptation."
